geo_name,geo_sumlevel,geo_id,adult_obesity_2015,adult_obesity_2016,adult_obesity_2017
"Warrick County, IN","county",05000US18173,0.297,0.28,0.294
"Washington County, IN","county",05000US18175,0.288,0.279,0.306
"Wayne County, IN","county",05000US18177,0.276,0.306,0.296
"Wells County, IN","county",05000US18179,0.292,0.281,0.284
"White County, IN","county",05000US18181,0.32,0.341,0.347
"Whitley County, IN","county",05000US18183,0.326,0.323,0.32
"Adair County, IA","county",05000US19001,0.323,0.31,0.324
"Adams County, IA","county",05000US19003,0.325,0.323,0.308
"Allamakee County, IA","county",05000US19005,0.295,0.303,0.336
"Appanoose County, IA","county",05000US19007,0.295,0.315,0.354
"Audubon County, IA","county",05000US19009,0.326,0.329,0.312
"Benton County, IA","county",05000US19011,0.3,0.332,0.344
"Black Hawk County, IA","county",05000US19013,0.286,0.288,0.299
"Boone County, IA","county",05000US19015,0.303,0.316,0.324
"Bremer County, IA","county",05000US19017,0.304,0.316,0.324
"Buchanan County, IA","county",05000US19019,0.312,0.329,0.352
"Buena Vista County, IA","county",05000US19021,0.299,0.307,0.33
"Butler County, IA","county",05000US19023,0.279,0.327,0.338
"Calhoun County, IA","county",05000US19025,0.305,0.331,0.324
"Carroll County, IA","county",05000US19027,0.3,0.296,0.307
"Cass County, IA","county",05000US19029,0.319,0.321,0.352
"Cedar County, IA","county",05000US19031,0.32,0.328,0.324
"Cerro Gordo County, IA","county",05000US19033,0.297,0.314,0.332
"Cherokee County, IA","county",05000US19035,0.334,0.357,0.375
"Chickasaw County, IA","county",05000US19037,0.303,0.306,0.327
"Clarke County, IA","county",05000US19039,0.287,0.296,0.305
"Clay County, IA","county",05000US19041,0.285,0.306,0.338
"Clayton County, IA","county",05000US19043,0.31,0.346,0.321
"Clinton County, IA","county",05000US19045,0.302,0.312,0.334
"Crawford County, IA","county",05000US19047,0.301,0.325,0.342
"Dallas County, IA","county",05000US19049,0.306,0.311,0.298
"Davis County, IA","county",05000US19051,0.308,0.306,0.327
"Decatur County, IA","county",05000US19053,0.301,0.307,0.331
"Delaware County, IA","county",05000US19055,0.373,0.32,0.339
"Des Moines County, IA","county",05000US19057,0.323,0.316,0.313
"Dickinson County, IA","county",05000US19059,0.31,0.328,0.334
"Dubuque County, IA","county",05000US19061,0.286,0.277,0.285
"Emmet County, IA","county",05000US19063,0.323,0.345,0.332
"Fayette County, IA","county",05000US19065,0.401,0.385,0.377
"Floyd County, IA","county",05000US19067,0.331,0.329,0.31
"Franklin County, IA","county",05000US19069,0.314,0.331,0.326
"Fremont County, IA","county",05000US19071,0.332,0.33,0.329
"Greene County, IA","county",05000US19073,0.291,0.286,0.296
"Grundy County, IA","county",05000US19075,0.306,0.291,0.317
"Guthrie County, IA","county",05000US19077,0.352,0.349,0.359
"Hamilton County, IA","county",05000US19079,0.282,0.298,0.306
"Hancock County, IA","county",05000US19081,0.312,0.326,0.354
"Hardin County, IA","county",05000US19083,0.344,0.328,0.348
"Harrison County, IA","county",05000US19085,0.296,0.32,0.323
"Henry County, IA","county",05000US19087,0.337,0.332,0.346
"Howard County, IA","county",05000US19089,0.313,0.322,0.311
"Humboldt County, IA","county",05000US19091,0.345,0.331,0.318
"Ida County, IA","county",05000US19093,0.304,0.305,0.282
"Iowa County, IA","county",05000US19095,0.308,0.295,0.307
"Jackson County, IA","county",05000US19097,0.311,0.326,0.331
"Jasper County, IA","county",05000US19099,0.339,0.343,0.322
"Jefferson County, IA","county",05000US19101,0.278,0.277,0.275
"Johnson County, IA","county",05000US19103,0.235,0.226,0.23
"Jones County, IA","county",05000US19105,0.306,0.317,0.376
"Keokuk County, IA","county",05000US19107,0.313,0.288,0.299
"Kossuth County, IA","county",05000US19109,0.315,0.314,0.327
"Lee County, IA","county",05000US19111,0.361,0.316,0.319
"Linn County, IA","county",05000US19113,0.279,0.301,0.31
"Louisa County, IA","county",05000US19115,0.321,0.35,0.374
"Lucas County, IA","county",05000US19117,0.305,0.318,0.338
"Lyon County, IA","county",05000US19119,0.318,0.304,0.319
"Madison County, IA","county",05000US19121,0.331,0.339,0.342
"Mahaska County, IA","county",05000US19123,0.287,0.307,0.319
"Marion County, IA","county",05000US19125,0.3,0.309,0.331
"Marshall County, IA","county",05000US19127,0.324,0.332,0.347
"Mills County, IA","county",05000US19129,0.29,0.336,0.347
"Mitchell County, IA","county",05000US19131,0.281,0.305,0.303
"Monona County, IA","county",05000US19133,0.293,0.296,0.328
"Monroe County, IA","county",05000US19135,0.342,0.326,0.324
"Montgomery County, IA","county",05000US19137,0.324,0.342,0.376
"Muscatine County, IA","county",05000US19139,0.36,0.354,0.342
"O'Brien County, IA","county",05000US19141,0.287,0.309,0.316
"Osceola County, IA","county",05000US19143,0.29,0.322,0.344
"Page County, IA","county",05000US19145,0.33,0.328,0.353
"Palo Alto County, IA","county",05000US19147,0.293,0.332,0.357
"Plymouth County, IA","county",05000US19149,0.318,0.333,0.322
"Pocahontas County, IA","county",05000US19151,0.31,0.305,0.319
"Polk County, IA","county",05000US19153,0.282,0.292,0.292
"Pottawattamie County, IA","county",05000US19155,0.35,0.374,0.36
"Poweshiek County, IA","county",05000US19157,0.294,0.305,0.321
"Ringgold County, IA","county",05000US19159,0.318,0.351,0.349
"Sac County, IA","county",05000US19161,0.29,0.312,0.33
"Scott County, IA","county",05000US19163,0.31,0.311,0.318
"Shelby County, IA","county",05000US19165,0.299,0.308,0.294
"Sioux County, IA","county",05000US19167,0.267,0.277,0.29
"Story County, IA","county",05000US19169,0.254,0.256,0.271
"Tama County, IA","county",05000US19171,0.319,0.326,0.313
"Taylor County, IA","county",05000US19173,0.304,0.301,0.309
"Union County, IA","county",05000US19175,0.346,0.371,0.378
"Van Buren County, IA","county",05000US19177,0.306,0.322,0.357
"Wapello County, IA","county",05000US19179,0.312,0.329,0.356
"Warren County, IA","county",05000US19181,0.287,0.305,0.311
"Washington County, IA","county",05000US19183,0.3,0.31,0.315
"Wayne County, IA","county",05000US19185,0.321,0.305,0.333
"Webster County, IA","county",05000US19187,0.278,0.305,0.311
"Winnebago County, IA","county",05000US19189,0.325,0.318,0.286
"Winneshiek County, IA","county",05000US19191,0.252,0.252,0.254
"Woodbury County, IA","county",05000US19193,0.316,0.337,0.343
"Worth County, IA","county",05000US19195,0.303,0.337,0.337
"Wright County, IA","county",05000US19197,0.333,0.343,0.344
"Allen County, KS","county",05000US20001,0.344,0.344,0.342
"Anderson County, KS","county",05000US20003,0.311,0.315,0.333
"Atchison County, KS","county",05000US20005,0.304,0.299,0.331
"Barber County, KS","county",05000US20007,0.342,0.368,0.367
"Barton County, KS","county",05000US20009,0.359,0.354,0.354
"Bourbon County, KS","county",05000US20011,0.382,0.361,0.339
"Brown County, KS","county",05000US20013,0.315,0.306,0.296
"Butler County, KS","county",05000US20015,0.319,0.313,0.319
"Chase County, KS","county",05000US20017,0.309,0.301,0.283
"Chautauqua County, KS","county",05000US20019,0.317,0.326,0.341
"Cherokee County, KS","county",05000US20021,0.391,0.387,0.37
"Cheyenne County, KS","county",05000US20023,0.318,0.329,0.335
"Clark County, KS","county",05000US20025,0.314,0.3,0.312
"Clay County, KS","county",05000US20027,0.343,0.358,0.362
"Cloud County, KS","county",05000US20029,0.335,0.328,0.299
"Coffey County, KS","county",05000US20031,0.326,0.329,0.305
"Comanche County, KS","county",05000US20033,0.342,0.339,0.336
"Cowley County, KS","county",05000US20035,0.369,0.368,0.36
"Crawford County, KS","county",05000US20037,0.364,0.347,0.33
"Decatur County, KS","county",05000US20039,0.346,0.358,0.361
"Dickinson County, KS","county",05000US20041,0.326,0.329,0.319
"Doniphan County, KS","county",05000US20043,0.348,0.311,0.321
"Douglas County, KS","county",05000US20045,0.245,0.233,0.242
"Edwards County, KS","county",05000US20047,0.325,0.325,0.329
"Elk County, KS","county",05000US20049,0.348,0.347,0.325
"Ellis County, KS","county",05000US20051,0.301,0.293,0.316
"Ellsworth County, KS","county",05000US20053,0.336,0.325,0.333
"Finney County, KS","county",05000US20055,0.324,0.349,0.352
"Ford County, KS","county",05000US20057,0.333,0.325,0.306
"Franklin County, KS","county",05000US20059,0.336,0.334,0.338
"Geary County, KS","county",05000US20061,0.326,0.309,0.327
"Gove County, KS","county",05000US20063,0.323,0.316,0.302
"Graham County, KS","county",05000US20065,0.319,0.3,0.289
"Grant County, KS","county",05000US20067,0.34,0.333,0.356
"Gray County, KS","county",05000US20069,0.291,0.339,0.36
"Greeley County, KS","county",05000US20071,0.308,0.314,0.326
"Greenwood County, KS","county",05000US20073,0.34,0.319,0.327
"Hamilton County, KS","county",05000US20075,0.328,0.375,0.371
"Harper County, KS","county",05000US20077,0.321,0.34,0.342
"Harvey County, KS","county",05000US20079,0.338,0.324,0.31
"Haskell County, KS","county",05000US20081,0.33,0.335,0.339
"Hodgeman County, KS","county",05000US20083,0.305,0.312,0.32
"Jackson County, KS","county",05000US20085,0.368,0.345,0.334
"Jefferson County, KS","county",05000US20087,0.33,0.314,0.299
"Jewell County, KS","county",05000US20089,0.317,0.301,0.296
"Johnson County, KS","county",05000US20091,0.23,0.233,0.248
"Kearny County, KS","county",05000US20093,0.313,0.303,0.287
"Kingman County, KS","county",05000US20095,0.306,0.323,0.322
"Kiowa County, KS","county",05000US20097,0.311,0.315,0.328
"Labette County, KS","county",05000US20099,0.344,0.363,0.34
"Lane County, KS","county",05000US20101,0.351,0.325,0.308
"Leavenworth County, KS","county",05000US20103,0.311,0.308,0.328
"Lincoln County, KS","county",05000US20105,0.309,0.305,0.312
"Linn County, KS","county",05000US20107,0.35,0.317,0.316
"Logan County, KS","county",05000US20109,0.319,0.32,0.311
"Lyon County, KS","county",05000US20111,0.324,0.341,0.347
"McPherson County, KS","county",05000US20113,0.307,0.299,0.292
"Marion County, KS","county",05000US20115,0.321,0.332,0.309
"Marshall County, KS","county",05000US20117,0.339,0.343,0.326
"Meade County, KS","county",05000US20119,0.29,0.256,0.27
"Miami County, KS","county",05000US20121,0.35,0.326,0.341
"Mitchell County, KS","county",05000US20123,0.29,0.321,0.321
"Montgomery County, KS","county",05000US20125,0.351,0.351,0.351
"Morris County, KS","county",05000US20127,0.329,0.352,0.351
"Morton County, KS","county",05000US20129,0.329,0.305,0.319
"Nemaha County, KS","county",05000US20131,0.322,0.309,0.304
"Neosho County, KS","county",05000US20133,0.325,0.328,0.335
"Ness County, KS","county",05000US20135,0.303,0.305,0.311
"Norton County, KS","county",05000US20137,0.354,0.339,0.324
"Osage County, KS","county",05000US20139,0.387,0.362,0.371
"Osborne County, KS","county",05000US20141,0.328,0.335,0.332
"Ottawa County, KS","county",05000US20143,0.326,0.37,0.379
"Pawnee County, KS","county",05000US20145,0.327,0.311,0.303
"Phillips County, KS","county",05000US20147,0.328,0.281,0.288
"Pottawatomie County, KS","county",05000US20149,0.32,0.316,0.313
"Pratt County, KS","county",05000US20151,0.312,0.329,0.338
"Rawlins County, KS","county",05000US20153,0.358,0.325,0.323
"Reno County, KS","county",05000US20155,0.334,0.333,0.357
"Republic County, KS","county",05000US20157,0.288,0.287,0.309
"Rice County, KS","county",05000US20159,0.309,0.311,0.326
"Riley County, KS","county",05000US20161,0.267,0.243,0.238
"Rooks County, KS","county",05000US20163,0.303,0.315,0.328
"Rush County, KS","county",05000US20165,0.312,0.311,0.326
"Russell County, KS","county",05000US20167,0.315,0.299,0.304
"Saline County, KS","county",05000US20169,0.317,0.325,0.351
"Scott County, KS","county",05000US20171,0.309,0.312,0.321
"Sedgwick County, KS","county",05000US20173,0.294,0.305,0.314
"Seward County, KS","county",05000US20175,0.328,0.349,0.386
"Shawnee County, KS","county",05000US20177,0.325,0.323,0.329
"Sheridan County, KS","county",05000US20179,0.312,0.315,0.315
"Sherman County, KS","county",05000US20181,0.323,0.315,0.299
"Smith County, KS","county",05000US20183,0.319,0.327,0.341
"Stafford County, KS","county",05000US20185,0.341,0.331,0.325
"Stanton County, KS","county",05000US20187,0.311,0.297,0.313
"Stevens County, KS","county",05000US20189,0.34,0.343,0.348
"Sumner County, KS","county",05000US20191,0.361,0.343,0.311
"Thomas County, KS","county",05000US20193,0.309,0.323,0.35
"Trego County, KS","county",05000US20195,0.32,0.299,0.297
"Wabaunsee County, KS","county",05000US20197,0.318,0.32,0.309
"Wallace County, KS","county",05000US20199,0.32,0.326,0.331
"Washington County, KS","county",05000US20201,0.334,0.32,0.307
"Wichita County, KS","county",05000US20203,0.327,0.305,0.294
"Wilson County, KS","county",05000US20205,0.349,0.312,0.329
"Woodson County, KS","county",05000US20207,0.283,0.304,0.334
"Wyandotte County, KS","county",05000US20209,0.386,0.378,0.362
"Adair County, KY","county",05000US21001,0.334,0.318,0.343
"Allen County, KY","county",05000US21003,0.319,0.35,0.339
"Anderson County, KY","county",05000US21005,0.333,0.329,0.346
"Ballard County, KY","county",05000US21007,0.339,0.352,0.342
"Barren County, KY","county",05000US21009,0.308,0.325,0.31
"Bath County, KY","county",05000US21011,0.318,0.31,0.304
"Bell County, KY","county",05000US21013,0.327,0.358,0.379
"Boone County, KY","county",05000US21015,0.302,0.299,0.325
"Bourbon County, KY","county",05000US21017,0.324,0.34,0.341
"Boyd County, KY","county",05000US21019,0.354,0.368,0.385
"Boyle County, KY","county",05000US21021,0.296,0.315,0.322
"Bracken County, KY","county",05000US21023,0.303,0.307,0.324
"Breathitt County, KY","county",05000US21025,0.411,0.429,0.416
"Breckinridge County, KY","county",05000US21027,0.366,0.373,0.366
"Bullitt County, KY","county",05000US21029,0.315,0.326,0.328
"Butler County, KY","county",05000US21031,0.331,0.355,0.332
"Caldwell County, KY","county",05000US21033,0.294,0.332,0.35
"Calloway County, KY","county",05000US21035,0.279,0.281,0.301
"Campbell County, KY","county",05000US21037,0.328,0.326,0.316
"Carlisle County, KY","county",05000US21039,0.318,0.33,0.334
"Carroll County, KY","county",05000US21041,0.332,0.382,0.353
"Carter County, KY","county",05000US21043,0.34,0.335,0.389
"Casey County, KY","county",05000US21045,0.355,0.363,0.364
"Christian County, KY","county",05000US21047,0.337,0.366,0.365
"Clark County, KY","county",05000US21049,0.306,0.32,0.306
"Clay County, KY","county",05000US21051,0.305,0.332,0.38
"Clinton County, KY","county",05000US21053,0.318,0.332,0.349
"Crittenden County, KY","county",05000US21055,0.325,0.317,0.338
"Cumberland County, KY","county",05000US21057,0.355,0.341,0.318
"Daviess County, KY","county",05000US21059,0.292,0.288,0.304
"Edmonson County, KY","county",05000US21061,0.365,0.349,0.312
"Elliott County, KY","county",05000US21063,0.347,0.344,0.337
"Estill County, KY","county",05000US21065,0.313,0.315,0.351
"Fayette County, KY","county",05000US21067,0.27,0.263,0.273
"Fleming County, KY","county",05000US21069,0.347,0.349,0.345
"Floyd County, KY","county",05000US21071,0.393,0.378,0.376
"Franklin County, KY","county",05000US21073,0.321,0.33,0.332
"Fulton County, KY","county",05000US21075,0.346,0.353,0.32
"Gallatin County, KY","county",05000US21077,0.297,0.311,0.358
"Garrard County, KY","county",05000US21079,0.364,0.345,0.305
"Grant County, KY","county",05000US21081,0.356,0.342,0.363
"Graves County, KY","county",05000US21083,0.298,0.293,0.301
"Grayson County, KY","county",05000US21085,0.341,0.36,0.365
"Green County, KY","county",05000US21087,0.322,0.33,0.381
"Greenup County, KY","county",05000US21089,0.379,0.384,0.398
"Hancock County, KY","county",05000US21091,0.339,0.326,0.345
"Hardin County, KY","county",05000US21093,0.309,0.315,0.329
"Harlan County, KY","county",05000US21095,0.341,0.366,0.365
"Harrison County, KY","county",05000US21097,0.279,0.298,0.301
"Hart County, KY","county",05000US21099,0.327,0.352,0.371
"Henderson County, KY","county",05000US21101,0.327,0.319,0.326
"Henry County, KY","county",05000US21103,0.33,0.315,0.316
"Hickman County, KY","county",05000US21105,0.343,0.345,0.352
"Hopkins County, KY","county",05000US21107,0.369,0.347,0.35
"Jackson County, KY","county",05000US21109,0.389,0.412,0.375
"Jefferson County, KY","county",05000US21111,0.32,0.312,0.316
"Jessamine County, KY","county",05000US21113,0.314,0.311,0.315
"Johnson County, KY","county",05000US21115,0.394,0.392,0.372
"Kenton County, KY","county",05000US21117,0.29,0.278,0.285
"Knott County, KY","county",05000US21119,0.41,0.407,0.402
"Knox County, KY","county",05000US21121,0.338,0.367,0.393
"Larue County, KY","county",05000US21123,0.305,0.305,0.336
"Laurel County, KY","county",05000US21125,0.33,0.347,0.378
"Lawrence County, KY","county",05000US21127,0.388,0.414,0.422
"Lee County, KY","county",05000US21129,0.294,0.295,0.339
"Leslie County, KY","county",05000US21131,0.38,0.399,0.432
"Letcher County, KY","county",05000US21133,0.379,0.379,0.386
"Lewis County, KY","county",05000US21135,0.372,0.371,0.383
"Lincoln County, KY","county",05000US21137,0.303,0.293,0.308
"Livingston County, KY","county",05000US21139,0.314,0.309,0.297
"Logan County, KY","county",05000US21141,0.363,0.355,0.352
"Lyon County, KY","county",05000US21143,0.303,0.333,0.333
"McCracken County, KY","county",05000US21145,0.306,0.321,0.337
"McCreary County, KY","county",05000US21147,0.332,0.342,0.343
"McLean County, KY","county",05000US21149,0.324,0.356,0.368
"Madison County, KY","county",05000US21151,0.285,0.296,0.322
"Magoffin County, KY","county",05000US21153,0.331,0.335,0.337
"Marion County, KY","county",05000US21155,0.335,0.331,0.306
"Marshall County, KY","county",05000US21157,0.339,0.325,0.341
"Martin County, KY","county",05000US21159,0.377,0.407,0.393
"Mason County, KY","county",05000US21161,0.322,0.336,0.301
"Meade County, KY","county",05000US21163,0.355,0.359,0.359
"Menifee County, KY","county",05000US21165,0.314,0.333,0.333
"Mercer County, KY","county",05000US21167,0.32,0.326,0.358
"Metcalfe County, KY","county",05000US21169,0.334,0.341,0.338
"Monroe County, KY","county",05000US21171,0.343,0.312,0.299
"Montgomery County, KY","county",05000US21173,0.33,0.331,0.322
"Morgan County, KY","county",05000US21175,0.345,0.353,0.355
"Muhlenberg County, KY","county",05000US21177,0.36,0.369,0.378
"Nelson County, KY","county",05000US21179,0.319,0.324,0.324
"Nicholas County, KY","county",05000US21181,0.314,0.317,0.325
"Ohio County, KY","county",05000US21183,0.379,0.4,0.372
"Oldham County, KY","county",05000US21185,0.294,0.301,0.28
"Owen County, KY","county",05000US21187,0.334,0.315,0.3
"Owsley County, KY","county",05000US21189,0.337,0.372,0.336
"Pendleton County, KY","county",05000US21191,0.324,0.297,0.324
"Perry County, KY","county",05000US21193,0.399,0.38,0.37
"Pike County, KY","county",05000US21195,0.362,0.377,0.389
"Powell County, KY","county",05000US21197,0.323,0.349,0.363
"Pulaski County, KY","county",05000US21199,0.317,0.347,0.336
"Robertson County, KY","county",05000US21201,0.333,0.346,0.346
"Rockcastle County, KY","county",05000US21203,0.394,0.387,0.36
"Rowan County, KY","county",05000US21205,0.342,0.343,0.344
"Russell County, KY","county",05000US21207,0.316,0.337,0.346
"Scott County, KY","county",05000US21209,0.315,0.306,0.294
"Shelby County, KY","county",05000US21211,0.318,0.338,0.33
"Simpson County, KY","county",05000US21213,0.297,0.32,0.354
"Spencer County, KY","county",05000US21215,0.286,0.273,0.303
"Taylor County, KY","county",05000US21217,0.346,0.366,0.354
"Todd County, KY","county",05000US21219,0.342,0.326,0.337
"Trigg County, KY","county",05000US21221,0.294,0.287,0.334
"Trimble County, KY","county",05000US21223,0.333,0.345,0.34
"Union County, KY","county",05000US21225,0.342,0.332,0.307
"Warren County, KY","county",05000US21227,0.289,0.292,0.316
"Washington County, KY","county",05000US21229,0.328,0.334,0.329
"Wayne County, KY","county",05000US21231,0.309,0.351,0.371
"Webster County, KY","county",05000US21233,0.328,0.331,0.356
"Whitley County, KY","county",05000US21235,0.342,0.355,0.363
"Wolfe County, KY","county",05000US21237,0.33,0.325,0.323
"Woodford County, KY","county",05000US21239,0.309,0.308,0.295
"Acadia Parish, LA","county",05000US22001,0.323,0.319,0.331
"Allen Parish, LA","county",05000US22003,0.347,0.346,0.344
"Ascension Parish, LA","county",05000US22005,0.332,0.323,0.313
"Assumption Parish, LA","county",05000US22007,0.325,0.333,0.348
"Avoyelles Parish, LA","county",05000US22009,0.383,0.388,0.37
"Beauregard Parish, LA","county",05000US22011,0.351,0.354,0.358
"Bienville Parish, LA","county",05000US22013,0.378,0.383,0.382
"Bossier Parish, LA","county",05000US22015,0.359,0.342,0.347
"Caddo Parish, LA","county",05000US22017,0.335,0.346,0.343
"Calcasieu Parish, LA","county",05000US22019,0.332,0.333,0.323
"Caldwell Parish, LA","county",05000US22021,0.356,0.365,0.363
"Cameron Parish, LA","county",05000US22023,0.345,0.347,0.315
"Catahoula Parish, LA","county",05000US22025,0.375,0.37,0.353
"Claiborne Parish, LA","county",05000US22027,0.389,0.38,0.37
"Concordia Parish, LA","county",05000US22029,0.367,0.387,0.383
"De Soto Parish, LA","county",05000US22031,0.35,0.367,0.389
"East Baton Rouge Parish, LA","county",05000US22033,0.331,0.323,0.329
"East Carroll Parish, LA","county",05000US22035,0.426,0.432,0.421
"East Feliciana Parish, LA","county",05000US22037,0.397,0.387,0.421
"Evangeline Parish, LA","county",05000US22039,0.352,0.367,0.419
"Franklin Parish, LA","county",05000US22041,0.363,0.36,0.38
"Grant Parish, LA","county",05000US22043,0.331,0.336,0.338
"Iberia Parish, LA","county",05000US22045,0.392,0.376,0.361
"Iberville Parish, LA","county",05000US22047,0.421,0.395,0.397
"Jackson Parish, LA","county",05000US22049,0.395,0.388,0.348
"Jefferson Parish, LA","county",05000US22051,0.328,0.323,0.354
"Jefferson Davis Parish, LA","county",05000US22053,0.335,0.36,0.363
"Lafayette Parish, LA","county",05000US22055,0.282,0.288,0.311
"Lafourche Parish, LA","county",05000US22057,0.353,0.363,0.369
"LaSalle Parish, LA","county",05000US22059,0.368,0.386,0.332
"Lincoln Parish, LA","county",05000US22061,0.344,0.343,0.373
"Livingston Parish, LA","county",05000US22063,0.35,0.361,0.344
"Madison Parish, LA","county",05000US22065,0.421,0.43,0.418
"Morehouse Parish, LA","county",05000US22067,0.399,0.397,0.394
"Natchitoches Parish, LA","county",05000US22069,0.374,0.375,0.347
"Orleans Parish, LA","county",05000US22071,0.309,0.322,0.319
"Ouachita Parish, LA","county",05000US22073,0.341,0.352,0.357
"Plaquemines Parish, LA","county",05000US22075,0.343,0.351,0.335
"Pointe Coupee Parish, LA","county",05000US22077,0.358,0.375,0.353
"Rapides Parish, LA","county",05000US22079,0.362,0.365,0.357
"Red River Parish, LA","county",05000US22081,0.395,0.4,0.403
"Richland Parish, LA","county",05000US22083,0.385,0.386,0.371
"Sabine Parish, LA","county",05000US22085,0.384,0.399,0.391
"St. Bernard Parish, LA","county",05000US22087,0.353,0.354,0.355
"St. Charles Parish, LA","county",05000US22089,0.346,0.359,0.359
"St. Helena Parish, LA","county",05000US22091,0.398,0.408,0.406
"St. James Parish, LA","county",05000US22093,0.376,0.378,0.37
"St. John the Baptist Parish, LA","county",05000US22095,0.344,0.35,0.358
"St. Landry Parish, LA","county",05000US22097,0.421,0.422,0.396
"St. Martin Parish, LA","county",05000US22099,0.351,0.35,0.342
"St. Mary Parish, LA","county",05000US22101,0.387,0.383,0.38
"St. Tammany Parish, LA","county",05000US22103,0.288,0.28,0.278
"Tangipahoa Parish, LA","county",05000US22105,0.374,0.403,0.391
"Tensas Parish, LA","county",05000US22107,0.341,0.34,0.348
"Terrebonne Parish, LA","county",05000US22109,0.387,0.396,0.395
"Union Parish, LA","county",05000US22111,0.346,0.361,0.344
"Vermilion Parish, LA","county",05000US22113,0.324,0.32,0.312
"Vernon Parish, LA","county",05000US22115,0.395,0.379,0.366
"Washington Parish, LA","county",05000US22117,0.388,0.401,0.374
"Webster Parish, LA","county",05000US22119,0.35,0.33,0.358
"West Baton Rouge Parish, LA","county",05000US22121,0.355,0.379,0.402
"West Carroll Parish, LA","county",05000US22123,0.379,0.371,0.36
"West Feliciana Parish, LA","county",05000US22125,0.366,0.384,0.345
"Winn Parish, LA","county",05000US22127,0.344,0.36,0.377
"Androscoggin County, ME","county",05000US23001,0.313,0.324,0.332
"Aroostook County, ME","county",05000US23003,0.333,0.339,0.341
"Cumberland County, ME","county",05000US23005,0.215,0.22,0.227
"Franklin County, ME","county",05000US23007,0.298,0.297,0.302
"Hancock County, ME","county",05000US23009,0.237,0.238,0.243
"Kennebec County, ME","county",05000US23011,0.311,0.304,0.309
"Knox County, ME","county",05000US23013,0.246,0.238,0.231
"Lincoln County, ME","county",05000US23015,0.241,0.24,0.246
"Oxford County, ME","county",05000US23017,0.305,0.317,0.314
"Penobscot County, ME","county",05000US23019,0.317,0.31,0.303
"Piscataquis County, ME","county",05000US23021,0.309,0.314,0.333
"Sagadahoc County, ME","county",05000US23023,0.256,0.258,0.251
"Somerset County, ME","county",05000US23025,0.339,0.339,0.35
"Waldo County, ME","county",05000US23027,0.304,0.294,0.283
"Washington County, ME","county",05000US23029,0.322,0.309,0.285
"York County, ME","county",05000US23031,0.273,0.269,0.276
"Allegany County, MD","county",05000US24001,0.28,0.275,0.323
"Anne Arundel County, MD","county",05000US24003,0.278,0.281,0.291
"Baltimore County, MD","county",05000US24005,0.282,0.282,0.288
"Calvert County, MD","county",05000US24009,0.295,0.298,0.297
"Caroline County, MD","county",05000US24011,0.325,0.342,0.35
"Carroll County, MD","county",05000US24013,0.284,0.277,0.279
"Cecil County, MD","county",05000US24015,0.33,0.318,0.337
"Charles County, MD","county",05000US24017,0.337,0.35,0.36
"Dorchester County, MD","county",05000US24019,0.353,0.334,0.357
"Frederick County, MD","county",05000US24021,0.273,0.279,0.291
"Garrett County, MD","county",05000US24023,0.31,0.307,0.306
"Harford County, MD","county",05000US24025,0.296,0.283,0.279
"Howard County, MD","county",05000US24027,0.233,0.226,0.217
"Kent County, MD","county",05000US24029,0.281,0.273,0.281
"Montgomery County, MD","county",05000US24031,0.188,0.194,0.201
"Prince George's County, MD","county",05000US24033,0.338,0.329,0.334
"Queen Anne's County, MD","county",05000US24035,0.273,0.277,0.289
"St. Mary's County, MD","county",05000US24037,0.292,0.303,0.32
"Somerset County, MD","county",05000US24039,0.361,0.395,0.422
"Talbot County, MD","county",05000US24041,0.284,0.284,0.293
"Washington County, MD","county",05000US24043,0.326,0.334,0.338
"Wicomico County, MD","county",05000US24045,0.346,0.349,0.359
"Worcester County, MD","county",05000US24047,0.312,0.298,0.294
"Baltimore city, MD","county",05000US24510,0.336,0.343,0.337
"Barnstable County, MA","county",05000US25001,0.183,0.197,0.199
"Berkshire County, MA","county",05000US25003,0.225,0.229,0.237
"Bristol County, MA","county",05000US25005,0.286,0.282,0.283
"Dukes County, MA","county",05000US25007,0.224,0.216,0.22
"Essex County, MA","county",05000US25009,0.242,0.243,0.255
"Franklin County, MA","county",05000US25011,0.221,0.216,0.21
"Hampden County, MA","county",05000US25013,0.289,0.285,0.275
"Hampshire County, MA","county",05000US25015,0.218,0.213,0.189
"Middlesex County, MA","county",05000US25017,0.231,0.226,0.226
"Nantucket County, MA","county",05000US25019,0.197,0.207,0.2
"Norfolk County, MA","county",05000US25021,0.202,0.197,0.205
"Plymouth County, MA","county",05000US25023,0.258,0.264,0.278
"Suffolk County, MA","county",05000US25025,0.212,0.206,0.213
"Worcester County, MA","county",05000US25027,0.26,0.261,0.27
"Alcona County, MI","county",05000US26001,0.31,0.307,0.311
"Alger County, MI","county",05000US26003,0.319,0.323,0.298
"Allegan County, MI","county",05000US26005,0.341,0.323,0.302
"Alpena County, MI","county",05000US26007,0.347,0.329,0.321
"Antrim County, MI","county",05000US26009,0.324,0.317,0.322
"Arenac County, MI","county",05000US26011,0.35,0.336,0.34
"Baraga County, MI","county",05000US26013,0.32,0.342,0.325
"Barry County, MI","county",05000US26015,0.361,0.337,0.312
"Bay County, MI","county",05000US26017,0.318,0.334,0.354
"Benzie County, MI","county",05000US26019,0.304,0.309,0.287
