geo_name,geo_sumlevel,geo_id,adult_obesity_2015,adult_obesity_2016,adult_obesity_2017
"Clarke County, GA","county",05000US13059,0.265,0.251,0.253
"Clay County, GA","county",05000US13061,0.327,0.311,0.298
"Clayton County, GA","county",05000US13063,0.375,0.395,0.38
"Clinch County, GA","county",05000US13065,0.323,0.303,0.296
"Cobb County, GA","county",05000US13067,0.223,0.224,0.229
"Coffee County, GA","county",05000US13069,0.322,0.323,0.348
"Colquitt County, GA","county",05000US13071,0.321,0.368,0.352
"Columbia County, GA","county",05000US13073,0.262,0.29,0.303
"Cook County, GA","county",05000US13075,0.293,0.287,0.314
"Coweta County, GA","county",05000US13077,0.28,0.27,0.268
"Crawford County, GA","county",05000US13079,0.31,0.284,0.273
"Crisp County, GA","county",05000US13081,0.331,0.301,0.311
"Dade County, GA","county",05000US13083,0.31,0.322,0.323
"Dawson County, GA","county",05000US13085,0.283,0.288,0.277
"Decatur County, GA","county",05000US13087,0.331,0.309,0.3
"DeKalb County, GA","county",05000US13089,0.264,0.265,0.273
"Dodge County, GA","county",05000US13091,0.323,0.312,0.285
"Dooly County, GA","county",05000US13093,0.334,0.341,0.347
"Dougherty County, GA","county",05000US13095,0.368,0.37,0.344
"Douglas County, GA","county",05000US13097,0.333,0.339,0.323
"Early County, GA","county",05000US13099,0.298,0.306,0.315
"Echols County, GA","county",05000US13101,0.29,0.292,0.283
"Effingham County, GA","county",05000US13103,0.33,0.337,0.352
"Elbert County, GA","county",05000US13105,0.338,0.324,0.311
"Emanuel County, GA","county",05000US13107,0.318,0.336,0.363
"Evans County, GA","county",05000US13109,0.354,0.353,0.335
"Fannin County, GA","county",05000US13111,0.279,0.261,0.259
"Fayette County, GA","county",05000US13113,0.271,0.292,0.311
"Floyd County, GA","county",05000US13115,0.28,0.285,0.31
"Forsyth County, GA","county",05000US13117,0.249,0.261,0.294
"Franklin County, GA","county",05000US13119,0.261,0.266,0.295
"Fulton County, GA","county",05000US13121,0.218,0.224,0.239
"Gilmer County, GA","county",05000US13123,0.289,0.265,0.297
"Glascock County, GA","county",05000US13125,0.301,0.305,0.286
"Glynn County, GA","county",05000US13127,0.278,0.277,0.262
"Gordon County, GA","county",05000US13129,0.285,0.293,0.293
"Grady County, GA","county",05000US13131,0.327,0.311,0.33
"Greene County, GA","county",05000US13133,0.299,0.302,0.297
"Gwinnett County, GA","county",05000US13135,0.271,0.274,0.295
"Habersham County, GA","county",05000US13137,0.289,0.315,0.317
"Hall County, GA","county",05000US13139,0.261,0.257,0.257
"Hancock County, GA","county",05000US13141,0.37,0.36,0.312
"Haralson County, GA","county",05000US13143,0.291,0.286,0.273
"Harris County, GA","county",05000US13145,0.287,0.297,0.284
"Hart County, GA","county",05000US13147,0.301,0.295,0.299
"Heard County, GA","county",05000US13149,0.293,0.308,0.302
"Henry County, GA","county",05000US13151,0.303,0.297,0.331
"Houston County, GA","county",05000US13153,0.324,0.323,0.31
"Irwin County, GA","county",05000US13155,0.309,0.298,0.292
"Jackson County, GA","county",05000US13157,0.285,0.286,0.274
"Jasper County, GA","county",05000US13159,0.294,0.306,0.293
"Jeff Davis County, GA","county",05000US13161,0.284,0.304,0.3
"Jefferson County, GA","county",05000US13163,0.381,0.384,0.353
"Jenkins County, GA","county",05000US13165,0.317,0.323,0.299
"Johnson County, GA","county",05000US13167,0.317,0.344,0.34
"Jones County, GA","county",05000US13169,0.317,0.327,0.335
"Lamar County, GA","county",05000US13171,0.343,0.33,0.306
"Lanier County, GA","county",05000US13173,0.318,0.32,0.332
"Laurens County, GA","county",05000US13175,0.349,0.354,0.362
"Lee County, GA","county",05000US13177,0.318,0.322,0.312
"Liberty County, GA","county",05000US13179,0.32,0.338,0.349
"Lincoln County, GA","county",05000US13181,0.334,0.332,0.29
"Long County, GA","county",05000US13183,0.293,0.297,0.314
"Lowndes County, GA","county",05000US13185,0.293,0.283,0.313
"Lumpkin County, GA","county",05000US13187,0.293,0.301,0.307
"McDuffie County, GA","county",05000US13189,0.348,0.35,0.334
"McIntosh County, GA","county",05000US13191,0.311,0.312,0.309
"Macon County, GA","county",05000US13193,0.338,0.346,0.364
"Madison County, GA","county",05000US13195,0.309,0.324,0.319
"Marion County, GA","county",05000US13197,0.327,0.328,0.329
"Meriwether County, GA","county",05000US13199,0.328,0.352,0.346
"Miller County, GA","county",05000US13201,0.316,0.312,0.303
"Mitchell County, GA","county",05000US13205,0.317,0.308,0.336
"Monroe County, GA","county",05000US13207,0.343,0.319,0.319
"Montgomery County, GA","county",05000US13209,0.362,0.373,0.362
"Morgan County, GA","county",05000US13211,0.31,0.283,0.265
"Murray County, GA","county",05000US13213,0.282,0.289,0.325
"Muscogee County, GA","county",05000US13215,0.362,0.321,0.288
"Newton County, GA","county",05000US13217,0.335,0.337,0.329
"Oconee County, GA","county",05000US13219,0.291,0.309,0.288
"Oglethorpe County, GA","county",05000US13221,0.294,0.298,0.301
"Paulding County, GA","county",05000US13223,0.268,0.284,0.286
"Peach County, GA","county",05000US13225,0.348,0.348,0.344
"Pickens County, GA","county",05000US13227,0.271,0.25,0.267
"Pierce County, GA","county",05000US13229,0.308,0.296,0.285
"Pike County, GA","county",05000US13231,0.307,0.284,0.262
"Polk County, GA","county",05000US13233,0.283,0.291,0.345
"Pulaski County, GA","county",05000US13235,0.319,0.318,0.317
"Putnam County, GA","county",05000US13237,0.317,0.324,0.3
"Quitman County, GA","county",05000US13239,0.312,0.326,0.34
"Rabun County, GA","county",05000US13241,0.305,0.321,0.294
"Randolph County, GA","county",05000US13243,0.365,0.358,0.337
"Richmond County, GA","county",05000US13245,0.332,0.351,0.341
"Rockdale County, GA","county",05000US13247,0.327,0.346,0.36
"Schley County, GA","county",05000US13249,0.296,0.291,0.304
"Screven County, GA","county",05000US13251,0.341,0.357,0.33
"Seminole County, GA","county",05000US13253,0.296,0.295,0.307
"Spalding County, GA","county",05000US13255,0.355,0.345,0.324
"Stephens County, GA","county",05000US13257,0.302,0.281,0.301
"Stewart County, GA","county",05000US13259,0.328,0.343,0.342
"Sumter County, GA","county",05000US13261,0.35,0.34,0.327
"Talbot County, GA","county",05000US13263,0.338,0.343,0.333
"Taliaferro County, GA","county",05000US13265,0.35,0.341,0.314
"Tattnall County, GA","county",05000US13267,0.352,0.353,0.331
"Taylor County, GA","county",05000US13269,0.326,0.305,0.288
"Telfair County, GA","county",05000US13271,0.3,0.316,0.309
"Terrell County, GA","county",05000US13273,0.354,0.345,0.316
"Thomas County, GA","county",05000US13275,0.31,0.326,0.34
"Tift County, GA","county",05000US13277,0.323,0.348,0.34
"Toombs County, GA","county",05000US13279,0.332,0.329,0.315
"Towns County, GA","county",05000US13281,0.27,0.264,0.274
"Treutlen County, GA","county",05000US13283,0.342,0.334,0.329
"Troup County, GA","county",05000US13285,0.299,0.294,0.3
"Turner County, GA","county",05000US13287,0.343,0.343,0.346
"Twiggs County, GA","county",05000US13289,0.314,0.307,0.328
"Union County, GA","county",05000US13291,0.252,0.27,0.272
"Upson County, GA","county",05000US13293,0.324,0.341,0.32
"Walker County, GA","county",05000US13295,0.334,0.331,0.321
"Walton County, GA","county",05000US13297,0.3,0.306,0.344
"Ware County, GA","county",05000US13299,0.343,0.355,0.355
"Warren County, GA","county",05000US13301,0.352,0.343,0.32
"Washington County, GA","county",05000US13303,0.353,0.345,0.322
"Wayne County, GA","county",05000US13305,0.324,0.323,0.318
"Webster County, GA","county",05000US13307,0.315,0.32,0.321
"Wheeler County, GA","county",05000US13309,0.327,0.338,0.319
"White County, GA","county",05000US13311,0.275,0.281,0.286
"Whitfield County, GA","county",05000US13313,0.288,0.297,0.335
"Wilcox County, GA","county",05000US13315,0.329,0.323,0.315
"Wilkes County, GA","county",05000US13317,0.337,0.325,0.329
"Wilkinson County, GA","county",05000US13319,0.34,0.336,0.345
"Worth County, GA","county",05000US13321,0.342,0.374,0.367
"Hawaii County, HI","county",05000US15001,0.245,0.235,0.227
"Honolulu County, HI","county",05000US15003,0.221,0.219,0.223
"Kalawao County, HI","county",05000US15005,0.24,0.238,0.215
"Kauai County, HI","county",05000US15007,0.214,0.207,0.206
"Maui County, HI","county",05000US15009,0.227,0.224,0.224
"Ada County, ID","county",05000US16001,0.244,0.245,0.254
"Adams County, ID","county",05000US16003,0.285,0.294,0.276
"Bannock County, ID","county",05000US16005,0.29,0.282,0.281
"Bear Lake County, ID","county",05000US16007,0.285,0.292,0.287
"Benewah County, ID","county",05000US16009,0.273,0.286,0.301
"Bingham County, ID","county",05000US16011,0.347,0.35,0.333
"Blaine County, ID","county",05000US16013,0.187,0.192,0.192
"Boise County, ID","county",05000US16015,0.244,0.236,0.224
"Bonner County, ID","county",05000US16017,0.24,0.256,0.247
"Bonneville County, ID","county",05000US16019,0.295,0.307,0.294
"Boundary County, ID","county",05000US16021,0.251,0.273,0.273
"Butte County, ID","county",05000US16023,0.318,0.286,0.285
"Camas County, ID","county",05000US16025,0.274,0.264,0.257
"Canyon County, ID","county",05000US16027,0.307,0.32,0.334
"Caribou County, ID","county",05000US16029,0.268,0.277,0.275
"Cassia County, ID","county",05000US16031,0.299,0.308,0.305
"Clark County, ID","county",05000US16033,0.33,0.328,0.314
"Clearwater County, ID","county",05000US16035,0.337,0.292,0.306
"Custer County, ID","county",05000US16037,0.268,0.273,0.263
"Elmore County, ID","county",05000US16039,0.294,0.296,0.298
"Franklin County, ID","county",05000US16041,0.28,0.283,0.307
"Fremont County, ID","county",05000US16043,0.266,0.269,0.289
"Gem County, ID","county",05000US16045,0.291,0.27,0.285
"Gooding County, ID","county",05000US16047,0.319,0.318,0.3
"Idaho County, ID","county",05000US16049,0.273,0.274,0.257
"Jefferson County, ID","county",05000US16051,0.279,0.304,0.327
"Jerome County, ID","county",05000US16053,0.319,0.316,0.333
"Kootenai County, ID","county",05000US16055,0.246,0.247,0.25
"Latah County, ID","county",05000US16057,0.266,0.266,0.243
"Lemhi County, ID","county",05000US16059,0.233,0.238,0.268
"Lewis County, ID","county",05000US16061,0.299,0.285,0.297
"Lincoln County, ID","county",05000US16063,0.292,0.319,0.323
"Madison County, ID","county",05000US16065,0.259,0.252,0.245
"Minidoka County, ID","county",05000US16067,0.317,0.347,0.342
"Nez Perce County, ID","county",05000US16069,0.323,0.324,0.309
"Oneida County, ID","county",05000US16071,0.337,0.359,0.313
"Owyhee County, ID","county",05000US16073,0.314,0.321,0.304
"Payette County, ID","county",05000US16075,0.29,0.323,0.333
"Power County, ID","county",05000US16077,0.31,0.314,0.321
"Shoshone County, ID","county",05000US16079,0.301,0.309,0.311
"Teton County, ID","county",05000US16081,0.253,0.266,0.241
"Twin Falls County, ID","county",05000US16083,0.26,0.267,0.276
"Valley County, ID","county",05000US16085,0.233,0.244,0.241
"Washington County, ID","county",05000US16087,0.299,0.315,0.303
"Adams County, IL","county",05000US17001,0.351,0.347,0.37
"Alexander County, IL","county",05000US17003,0.329,0.324,0.284
"Bond County, IL","county",05000US17005,0.279,0.305,0.296
"Boone County, IL","county",05000US17007,0.306,0.341,0.337
"Brown County, IL","county",05000US17009,0.305,0.315,0.276
"Bureau County, IL","county",05000US17011,0.308,0.299,0.291
"Calhoun County, IL","county",05000US17013,0.304,0.304,0.291
